Gostei,do,produto,",",tudo,ok,como,o,esperado,.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPN,DET,NOUN,PUNCT,PRON,NOUN,ADP,DET,NOUN,PUNCT,SPACE,,,,,,,,,,,,,,,,,
PROP|M|S|@SUBJ>,<artd>|ART|M|S|@>N,<np-idf>|N|M|S|@P<,PU|@PU,<quant>|INDP|M|S|@SUBJ>,<np-idf>|N|M|S|@<SUBJ,<com>|PRP|@N<,<artd>|ART|M|S|@>N,<np-def>|N|M|S|@P<,PU|@PU,_SP,,,,,,,,,,,,,,,,,
ROOT = Gostei,case = produto,nmod = Gostei,punct = tudo,appos = Gostei,fixed = tudo,fixed = tudo,det = esperado,nmod = tudo,punct = Gostei,#ERROR!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muito,bom,boa,qualidade,.,Eu,recomendo,.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,ADJ,ADJ,NOUN,PUNCT,PRON,VERB,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,
<quant>|ADV|@>A,ADJ|M|S|@>N,ADJ|F|S|@>N,<np-idf>|N|F|S|@<SC,PU|@PU,PERS|M/F|1S|NOM|@SUBJ>,<mv>|V|PR|1S|IND|@FS-STA,PU|@PU,_SP,,,,,,,,,,,,,,,,,,,
advmod = bom,ROOT = bom,amod = qualidade,obj = bom,punct = bom,nsubj = recomendo,ROOT = recomendo,punct = recomendo,#ERROR!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quero,um,preto,e,um,branco,vc,teria,?,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,DET,NOUN,CCONJ,DET,ADJ,ADJ,AUX,PUNCT,SPACE,,,,,,,,,,,,,,,,,,
<mv>|V|PR|1S|IND|@FS-STA,<arti>|ART|M|S|@>N,<first-cjt>|<np-idf>|N|M|S|@<ACC,<co-acc>|KC|@CO,<arti>|ART|M|S|@>N,ADJ|M|S|@>N,ADJ|M|S|@N<,<aux>|V|COND|3S|@FS-STA,PU|@PU,_SP,,,,,,,,,,,,,,,,,,
ROOT = Quero,det = preto,obj = Quero,cc = branco,det = branco,amod = vc,nsubj = teria,parataxis = Quero,punct = Quero,#ERROR!,,,,,,,,,,,,,,,,,,
