Gostei,do,produto,,,tudo,ok,como,o,esperado,.,,,,,,,,,,,,,,,,,,
VERB,DET,NOUN,PUNCT,PRON,NOUN,ADP,DET,NOUN,PUNCT,SPACE,,,,,,,,,,,,,,,,,
Muito,bom,boa,qualidade,.,Eu,recomendo,.,,,,,,,,,,,,,,,,,,,,
ADV,ADJ,ADJ,NOUN,PUNCT,PRON,VERB,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,
Quero,um,preto,e,um,branco,vc,teria,?,,,,,,,,,,,,,,,,,,,
VERB,DET,ADJ,CCONJ,DET,ADJ,ADJ,AUX,PUNCT,SPACE,,,,,,,,,,,,,,,,,,
O,unico,problema,e,que,o,manuel,nao,e,em,portugues,demorei,pra,descrobrir,como,liogar,os,dois,a,o,mesmo,tempo,,,mais,consegui,achar,.,
DET,ADJ,NOUN,CCONJ,SCONJ,DET,PROPN,ADV,CCONJ,ADP,NOUN,VERB,ADP,VERB,ADV,VERB,DET,NUM,DET,DET,ADJ,NOUN,PUNCT,ADV,VERB,VERB,PUNCT,SPACE
primeiro,aniversário,longe,,,estou,triste,e,muitooooo,feliz,a,o,mesmo,tempo,,,,,,,,,,,,,,,
ADJ,NOUN,ADJ,PUNCT,VERB,ADJ,DET,ADV,ADJ,DET,DET,ADJ,NOUN,SPACE,,,,,,,,,,,,,,
Qual,horário,posso,retirar,?,,,,,,,,,,,,,,,,,,,,,,,
PRON,NOUN,PRON,VERB,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,,,,
Mano,não,briga,,,arranja,treta,.,,,,,,,,,,,,,,,,,,,,,
ADJ,ADV,VERB,PUNCT,VERB,NOUN,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,,
segue,respirando,com,a,ajuda,de,aparelhos,,,,,,,,,,,,,,,,,,,,,
AUX,VERB,ADP,DET,NOUN,ADP,NOUN,SPACE,,,,,,,,,,,,,,,,,,,,
Que,é,isso,véio,!,,,,,,,,,,,,,,,,,,,,,,,
SCONJ,VERB,PRON,NOUN,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,,,,
Veja,bem,em,quem,vota,aí,nas,eleições,rapaziada,,,,,,,,,,,,,,,,,,,
VERB,ADV,ADP,PRON,VERB,ADV,ADJ,NOUN,NOUN,SPACE,,,,,,,,,,,,,,,,,,
Mais,atenção,galera,vamo,colaborar,pra,eles,faze,serviço,de,qualidade,pra,nois,como,sempre,fazem,!,,,,,,,,,,,
ADV,NOUN,NOUN,VERB,VERB,ADP,PRON,VERB,NOUN,ADP,NOUN,ADP,NOUN,ADV,ADV,VERB,PUNCT,SPACE,,,,,,,,,,
Diz,ser,de,São,Carlos,mais,nunca,ando,de,onibus,lotado,e,grito,calma,ai,motorista,eu,vo,desce,kkkkkkk,!,,,,,,,
VERB,VERB,ADP,PROPN,PROPN,ADV,ADV,VERB,ADP,NOUN,ADJ,CCONJ,VERB,ADJ,ADP,NOUN,PRON,ADV,VERB,X,PUNCT,SPACE,,,,,,
Ele,foi,trollado,kkkk,,,,,,,,,,,,,,,,,,,,,,,,
PRON,AUX,VERB,NOUN,SPACE,,,,,,,,,,,,,,,,,,,,,,,
Vou,viajar,pra,fora,do,Brasil,,,SQN,,,,,,,,,,,,,,,,,,,,
AUX,VERB,ADP,ADV,ADP,PROPN,PUNCT,PROPN,SPACE,,,,,,,,,,,,,,,,,,,
Você,é,meu,bife,,,amo,você,:,(,-,,,,,,,,,,,,,,,,,,
PRON,VERB,DET,NOUN,PUNCT,VERB,PRON,SYM,SYM,SYM,SPACE,,,,,,,,,,,,,,,,,
Ela,vive,postando,selfie,.,Quer,biscoito,essa,d,aí,...,,,,,,,,,,,,,,,,,
PRON,VERB,VERB,NOUN,PUNCT,VERB,NOUN,ADP,ADP,ADP,PUNCT,SPACE,,,,,,,,,,,,,,,,
Este,boné,é,chavoso,demais,!,,,,,,,,,,,,,,,,,,,,,,
DET,NOUN,VERB,ADJ,PRON,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,,,
Minha,foto,hitou,no,Instagram,,,,,,,,,,,,,,,,,,,,,,,
PRON,NOUN,VERB,PRON,PROPN,SPACE,,,,,,,,,,,,,,,,,,,,,,
Qual,é,a,tua,,,menó,?,Tá,causando,no,rolê,!,,,,,,,,,,,,,,,,
PRON,VERB,DET,NOUN,PUNCT,NOUN,PUNCT,AUX,VERB,PRON,NOUN,PUNCT,SPACE,,,,,,,,,,,,,,,
Você,mitou,n,aquele,post,,,,,,,,,,,,,,,,,,,,,,,
PRON,VERB,ADP,DET,NOUN,SPACE,,,,,,,,,,,,,,,,,,,,,,
Graças,a,Deus,,,sextou,,,,,,,,,,,,,,,,,,,,,,,
NOUN,ADP,PROPN,PUNCT,VERB,SPACE,,,,,,,,,,,,,,,,,,,,,,
Minha,mãe,tá,na,Disney,que,eu,vou,voltar,à,s,22h,da,festa,,,,,,,,,,,,,,
