Gostei,do,produto,",",tudo,ok,como,o,esperado,.,,,,,,,,,,,,,,,,,,
1-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,DET,NOUN,PUNCT,PRON,NOUN,ADP,DET,NOUN,PUNCT,SPACE,,,,,,,,,,,,,,,,,
PROP|M|S|@SUBJ>,<artd>|ART|M|S|@>N,<np-idf>|N|M|S|@P<,PU|@PU,<quant>|INDP|M|S|@SUBJ>,<np-idf>|N|M|S|@<SUBJ,<com>|PRP|@N<,<artd>|ART|M|S|@>N,<np-def>|N|M|S|@P<,PU|@PU,_SP,,,,,,,,,,,,,,,,,
ROOT = Gostei,case = produto,nmod = Gostei,punct = tudo,appos = Gostei,fixed = tudo,fixed = tudo,det = esperado,nmod = tudo,punct = Gostei,#ERROR!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muito,bom,boa,qualidade,.,Eu,recomendo,.,,,,,,,,,,,,,,,,,,,,
2-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV,ADJ,ADJ,NOUN,PUNCT,PRON,VERB,PUNCT,SPACE,,,,,,,,,,,,,,,,,,,
<quant>|ADV|@>A,ADJ|M|S|@>N,ADJ|F|S|@>N,<np-idf>|N|F|S|@<SC,PU|@PU,PERS|M/F|1S|NOM|@SUBJ>,<mv>|V|PR|1S|IND|@FS-STA,PU|@PU,_SP,,,,,,,,,,,,,,,,,,,
advmod = bom,ROOT = bom,amod = qualidade,obj = bom,punct = bom,nsubj = recomendo,ROOT = recomendo,punct = recomendo,#ERROR!,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quero,um,preto,e,um,branco,vc,teria,?,,,,,,,,,,,,,,,,,,,
3-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERB,DET,ADJ,CCONJ,DET,ADJ,ADJ,AUX,PUNCT,SPACE,,,,,,,,,,,,,,,,,,
<mv>|V|PR|1S|IND|@FS-STA,<arti>|ART|M|S|@>N,<first-cjt>|<np-idf>|N|M|S|@<ACC,<co-acc>|KC|@CO,<arti>|ART|M|S|@>N,ADJ|M|S|@>N,ADJ|M|S|@N<,<aux>|V|COND|3S|@FS-STA,PU|@PU,_SP,,,,,,,,,,,,,,,,,,
ROOT = Quero,det = preto,obj = Quero,cc = branco,det = branco,amod = vc,nsubj = teria,parataxis = Quero,punct = Quero,#ERROR!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,unico,problema,e,que,o,manuel,nao,e,em,portugues,demorei,pra,descrobrir,como,liogar,os,dois,a,o,mesmo,tempo,",",mais,consegui,achar,.,
4-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET,ADJ,NOUN,CCONJ,SCONJ,DET,PROPN,ADV,CCONJ,ADP,NOUN,VERB,ADP,VERB,ADV,VERB,DET,NUM,DET,DET,ADJ,NOUN,PUNCT,ADV,VERB,VERB,PUNCT,SPACE
<artd>|ART|M|S|@>N,ADJ|M|S|@>N,<np-def>|N|M|S|@SUBJ>,<co-fcl>|<co-vfin>|KC|@CO,KS|@SUB,<artd>|ART|M|S|@>N,<np-def>|N|M|S|@SUBJ>,<co-sc>|KC|@CO,<co-advl>|KC|@CO,<cjt>|PRP|@<ADVL,<np-idf>|N|M|P|@P<,<aux>|V|FUT|3P|IND|@FS-STA,PRP|@<ADVL,<mv>|V|INF|@ICL-P<,<interr>|ADV|@ADVL>,<mv>|V|INF|@ICL-P<,<artd>|ART|M|P|@>N,<card>|NUM|M|P|@>N,<sam->|PRP|@N<,<artd>|<-sam>|DET|M|S|@>N,<diff>|DET|M|S|@>N,N|M|S|@P<,PU|@PU,<quant>|<KOMP>|<COMP>|ADV|@ADVL>,<mv>|V|PS|3S|IND|@FS-STA,<mv>|V|INF|@ICL-<ACC,PU|@PU,_SP
det = problema,amod = problema,nsubj = consegui,cc = demorei,mark = demorei,det = manuel,nsubj = demorei,amod = manuel,cc = demorei,case = portugues,obl = demorei,conj = problema,mark = descrobrir,xcomp = demorei,advmod = liogar,xcomp = descrobrir,det = dois,obj = liogar,case = tempo,det = tempo,amod = tempo,obl = liogar,punct = descrobrir,advmod = consegui,ROOT = consegui,xcomp = consegui,punct = consegui,#ERROR!
,,,,,,,,,,,,,,,,,,,,,,,,,,,
primeiro,aniversário,longe,",",estou,triste,e,muitooooo,feliz,a,o,mesmo,tempo,,,,,,,,,,,,,,,
5-OK,,,,,,,,,,,,,,,,,,,,,,,,,,,
